"""%(/6 /#( +/34.!$%2";Bilagor//NN|UTR|PLU|IND|NOM//ROOT//0
Bilaga 2: Naturskydd och naturhänsyn i skogen;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//53 gav//VB|PRT|AKT//parataxis//1 samtidigt//AB//advmod//53 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//obj//53 i//PP//case//57 uppdrag//NN|NEU|SIN|IND|NOM//obl//53 att//IE//mark//59 redovisa//VB|INF|AKT//acl//57 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//59 efter//PP//case//64 det//DT|NEU|SIN|DEF//det//64 skogspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 beslutet//NN|NEU|SIN|DEF|NOM//obl//59 när//HA//case//68 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//65 gäller//VB|PRS|AKT//fixed//65 avsättningen//NN|UTR|SIN|DEF|NOM//obl//59 av//PP//case//70 skogsreservat//NN|NEU|SIN|IND|NOM//nmod//68 m.m.//AB|AN//conj//70
Bilaga 2: Naturskydd och naturhänsyn i skogen;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 år//NN|NEU|SIN|IND|NOM//nmod//3 1993//RG|NOM//obl//1 om//PP//case//7 en//DT|UTR|SIN|IND//det//7 ny//JJ|POS|UTR|SIN|IND|NOM//amod//7 skogspolitik//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//10 har//VB|PRS|AKT//aux//29 sedan//PP//advmod//10 tidigare//AB|KOM//advmod//10 i//PP//case//14 uppdrag//NN|NEU|SIN|IND|NOM//obl//10 att//IE//mark//16 redovisa//VB|INF|AKT//acl//14 en//DT|UTR|SIN|IND//det//19 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//19 utvärdering//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//21 skogspolitiken//NN|UTR|SIN|DEF|NOM//nmod//19 senast//AB|SUV//advmod//24 i//PP//case//24 januari//NN|UTR|SIN|IND|NOM//obl//16 1998//RG|NOM//nummod//24 .//MAD//punct//10
Bilaga 2: Naturskydd och naturhänsyn i skogen;Föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//29 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//36 delar//NN|UTR|PLU|IND|NOM//nsubj:pass//36 av//PP//case//33 utvärderingen//NN|UTR|SIN|DEF|NOM//nmod//31 av//PP//case//35 skogspolitiken//NN|UTR|SIN|DEF|NOM//nmod//33 tidigareläggs//VB|PRS|SFO//ccomp//29 .//MAD//punct//1
Bilaga 2: Naturskydd och naturhänsyn i skogen;Det//DT|NEU|SIN|DEF//det//2 skogspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 beslutet//NN|NEU|SIN|DEF|NOM//nsubj//3 innebar//VB|PRT|AKT//ROOT//3 bl.a.//AB|AN//advmod//3 att//SN//mark//11 ett//DT|NEU|SIN|IND//det//7 miljömål//NN|NEU|SIN|IND|NOM//nsubj:pass//11 och//KN//cc//10 ett//DT|NEU|SIN|IND//det//10 produktionsmål//NN|NEU|SIN|IND|NOM//conj//7 jämställdes//VB|PRT|SFO//ccomp//3 .//MAD//punct//11
Bilaga 2: Naturskydd och naturhänsyn i skogen;Sektorsansvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 för//PP//case//15 skogsbruket//NN|NEU|SIN|DEF|NOM//nmod//13 förtydligades//VB|PRT|SFO//parataxis//11 och//KN//cc//20 ett//DT|NEU|SIN|IND//det//19 antal//NN|NEU|SIN|IND|NOM//nmod//20 förändringar//NN|UTR|PLU|IND|NOM//conj//16 i//PP//case//24 1979//RG|NOM//nummod//23 års//NN|NEU|SIN|IND|GEN//nmod:poss//24 skogsvårdslag//NN|UTR|SIN|IND|NOM//nmod//20 gjordes//VB|PRT|SFO//conj//16 .//MAD//punct//3
Bilaga 2: Naturskydd och naturhänsyn i skogen;Sedan//PP//advmod//29 år//NN|NEU|SIN|IND|NOM//nmod//29 1993//RG|NOM//obl//3 har//VB|PRS|AKT//aux//37 även//AB//advmod//30 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//37 med//PP//case//34 biotopskydd//NN|NEU|SIN|IND|NOM//nmod//32 och//KN//cc//36 naturvårdsavtal//NN|NEU|SIN|IND|NOM//conj//34 pågått//VB|SUP|AKT//advcl//3 .//MAD//punct//3
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 miljövärden//NN|NEU|PLU|IND|NOM//nsubj:pass//3 kan//VB|PRS|AKT//aux//3 skyddas//VB|INF|SFO//ROOT//3 på//PP//case//7 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 sätt//NN|NEU|PLU|IND|NOM//obl//3 .//MID//punct//3
Bilaga 2: Naturskydd och naturhänsyn i skogen;De//DT|UTR/NEU|PLU|DEF//det//11 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 former//NN|UTR|PLU|IND|NOM//nsubj//21 av//PP//case//13 skydd//NN|NEU|SIN|IND|NOM//nmod//11 och//KN//cc//15 hänsyn//NN|UTR|SIN|IND|NOM//conj//13 som//HP|-|-|-//nsubj:pass//17 redovisas//VB|PRS|SFO//acl:relcl//15 i//PP//case//19 rapporten//NN|UTR|SIN|DEF|NOM//obl//17 är//VB|PRS|AKT//cop//21 betydelsefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//3 och//KN//cc//23 kompletteras//VB|PRS|SFO//conj//21 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//23 .//MAD//punct//3
Bilaga 2: Naturskydd och naturhänsyn i skogen;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//27 skiljer//VB|PRS|AKT//parataxis//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//27 åt//PL//compound:prt//27 i//PP//case//32 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//32 avseenden//NN|NEU|PLU|IND|NOM//obl//27 ,//MID//punct//27 t.ex.//AB|AN//advmod//35 urval//NN|NEU|SIN|IND|NOM//appos//27 ,//MID//punct//37 storlek//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//39 varaktighet//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//41 naturtyp//NN|UTR|SIN|IND|NOM//conj//35 och//KN//cc//44 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//44 möjlighet//NN|UTR|SIN|IND|NOM//conj//35 till//PP//case//46 inflytande//NN|NEU|SIN|IND|NOM//nmod//44 ,//MID//punct//27 och//KN//cc//52 är//VB|PRS|AKT//cop//52 således//AB//advmod//52 inte//AB//advmod//52 utbytbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//27 eller//KN//cc//55 fullt//AB|POS//advmod//55 ut//AB//conj//52 jämförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//52 .//MAD//punct//27
Bilaga 2: Naturskydd och naturhänsyn i skogen;Biotopskydd//NN|NEU|SIN|IND|NOM//ROOT//0
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogslevande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 växt-//NN|UTR|-|-|SMS//nsubj//12 och//KN//cc//3 djurarter//NN|UTR|PLU|IND|NOM//conj//1 som//HP|-|-|-//nsubj//6 är//VB|PRS|AKT//cop//6 utrotningshotade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//3 eller//KN//cc//11 på//PP//case//10 annat//JJ|POS|NEU|SIN|IND|NOM//amod//10 sätt//NN|NEU|SIN|IND|NOM//obl//11 skyddsvärda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//6 återfinns//VB|PRS|SFO//ROOT//12 ofta//AB|POS//advmod//12 i//PP//case//18 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 men//KN//cc//17 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//15 biotoper//NN|UTR|PLU|IND|NOM//obl//12 (//PAD//punct//18 livsmiljöer//NN|UTR|PLU|IND|NOM//appos//18 )//PAD//punct//18 .//MAD//punct//12
Bilaga 2: Naturskydd och naturhänsyn i skogen;För//PP//mark//25 att//IE//mark//25 skydda//VB|INF|AKT//advcl//27 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obj//25 infördes//VB|PRT|SFO//parataxis//12 år//NN|NEU|SIN|IND|NOM//obl//29 1991//RG|NOM//nummod//30 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//27 i//PP//case//32 naturvårdslagen//NN|UTR|SIN|DEF|NOM//nmod//30 om//PP//case//35 s.k.//AB|AN//amod//35 biotopskydd//NN|NEU|PLU|IND|NOM//obl//27 .//MAD//punct//12
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogsvårdsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//38 beslutar//VB|PRS|AKT//parataxis//12 om//PP//case//40 biotopskydd//NN|NEU|SIN|IND|NOM//obl//38 på//PP//case//42 skogsmark//NN|UTR|SIN|IND|NOM//obl//38 för//PP//case//44 områden//NN|NEU|PLU|IND|NOM//obl//38 som//HP|-|-|-//nsubj:pass//46 utgörs//VB|PRS|SFO//acl:relcl//44 av//PP//case//48 någon//PN|UTR|SIN|IND|SUB/OBJ//obl:agent//46 av//PP//case//52 19//RG|NOM//nummod//52 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//52 biotoptyper//NN|UTR|PLU|IND|NOM//nmod//48 och//KN//cc//57 som//HP|-|-|-//nsubj//57 är//VB|PRS|AKT//cop//57 högst//AB|SUV//advmod//57 5//RG|NOM//nummod//59 ha//NN|AN//aux//59 stort//AB//advcl//38 .//MID//punct//38
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogsägaren//NN|UTR|SIN|DEF|NOM//nsubj//62 får//VB|PRS|AKT//parataxis//38 ersättning//NN|UTR|SIN|IND|NOM//obj//62 enligt//PP//case//66 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 regler//NN|UTR|PLU|IND|NOM//obl//62 ,//MID//punct//69 men//KN//cc//69 behåller//VB|PRS|AKT//conj//38 äganderätten//NN|UTR|SIN|DEF|NOM//obj//69 .//MAD//punct//38
Bilaga 2: Naturskydd och naturhänsyn i skogen;Vid//PP//case//1 slutet//NN|NEU|SIN|DEF|NOM//obl//5 av//PP//case//4 år//NN|NEU|SIN|IND|NOM//nmod//4 1996//RG|NOM//nmod//1 beräknas//VB|PRS|SFO//ROOT//5 antalet//NN|NEU|SIN|DEF|NOM//nmod//7 biotopskydd//NN|NEU|SIN|IND|NOM//nsubj:pass//5 på//PP//case//9 skogsmark//NN|UTR|SIN|IND|NOM//nmod//7 vara//VB|INF|AKT//cop//12 500//RG|NOM//nummod//12 st//NN|AN//xcomp//5 och//KN//cc//15 arealen//NN|UTR|SIN|DEF|NOM//nsubj//15 bedöms//VB|PRS|SFO//conj//5 till//PP//case//20 totalt//AB|POS//advmod//19 ca//AB|AN//advmod//19 1//RG|NOM//nummod//20 100//RG|NOM//nummod//21 ha//NN|AN//xcomp//15 .//MAD//punct//5
Bilaga 2: Naturskydd och naturhänsyn i skogen;Nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//24 hälften//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 av//PP//case//27 alla//DT|UTR/NEU|PLU|IND/DEF//det//27 biotopskydd//NN|NEU|PLU|IND|NOM//nmod//24 utgörs//VB|PRS|SFO//advcl//5 av//PP//case//31 urskogsartad//PC|PRF|UTR|SIN|IND|NOM//amod//31 barrskog//NN|UTR|SIN|IND|NOM//obl:agent//28 ,//MID//punct//37 men//KN//cc//37 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//36 19//RG|NOM//nummod//36 biotoptyper//NN|UTR|PLU|IND|NOM//nsubj//37 finns//VB|PRS|SFO//conj//5 representerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//37 .//MAD//punct//37
Bilaga 2: Naturskydd och naturhänsyn i skogen;Biotopskydd//NN|NEU|PLU|IND|NOM//nsubj:pass//46 har//VB|PRS|AKT//aux//46 så//AB//advmod//44 här//AB//fixed//42 långt//AB|POS//advmod//45 främst//AB|SUV//advmod//46 beslutats//VB|SUP|SFO//parataxis//37 för//PP//case//48 områden//NN|NEU|PLU|IND|NOM//obl//46 som//HP|-|-|-//nsubj//52 varit//VB|SUP|AKT//cop//52 mycket//AB|POS//advmod//52 virkesrika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//48 och//KN//cc//54 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//52 för//PP//case//56 avverkning//NN|UTR|SIN|IND|NOM//obl//52 och//KN//cc//61 har//VB|PRS|AKT//aux//61 i//PP//case//60 genomsnitt//NN|NEU|SIN|IND|NOM//obl//61 ersatts//VB|SUP|SFO//conj//46 med//PP//case//65 35//RG|NOM//nummod//64 000//RG|NOM//nummod//65 kr//NN|AN//obl//61 ///MID//cc//67 ha//NN|AN//conj//65 .//MAD//punct//5
Bilaga 2: Naturskydd och naturhänsyn i skogen;Biotopskyddet//NN|NEU|SIN|DEF|NOM//nsubj//70 omfattar//VB|PRS|AKT//parataxis//5 idag//AB//advmod//70 en//DT|UTR|SIN|IND//det//78 värdefull//JJ|POS|UTR|SIN|IND|NOM//amod//78 men//KN//cc//76 relativt//AB|POS//advmod//76 liten//JJ|POS|UTR|SIN|IND|NOM//amod//78 areal//NN|UTR|SIN|IND|NOM//nmod//78 skogsmark//NN|UTR|SIN|IND|NOM//obj//70 .//MAD//punct//70
Bilaga 2: Naturskydd och naturhänsyn i skogen;Totalt//AB|POS//advmod//81 beräknas//VB|PRS|SFO//parataxis//70 ca//AB|AN//advmod//83 15//RG|NOM//nummod//84 000//RG|NOM//nummod//85 områden//NN|NEU|PLU|IND|NOM//nsubj:pass//81 i//PP//case//87 landet//NN|NEU|SIN|DEF|NOM//nmod//85 under//PP//case//89 5//RG|NOM//obl//81 ha//VB|INF|AKT//aux//92 vara//VB|INF|AKT//cop//92 lämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//70 för//PP//case//94 biotopskydd//NN|NEU|SIN|IND|NOM//nmod//92 .//MAD//punct//70
Bilaga 2: Naturskydd och naturhänsyn i skogen;Arealen//NN|UTR|SIN|DEF|NOM//nsubj//97 uppgår//VB|PRS|AKT//parataxis//70 till//PP//case//101 25//RG|NOM//nummod//100 000–30//RG|NOM//nmod//101 000//RG|NOM//nummod//102 ha//NN|AN//xcomp//97 och//KN//cc//104 kostnaden//NN|UTR|SIN|DEF|NOM//conj//102 för//PP//mark//107 att//IE//mark//107 skydda//VB|INF|AKT//advcl//102 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//107 beräknas//VB|PRS|SFO//xcomp//107 till//PP//case//114 ca//AB|AN//advmod//112 800–900//RG|NOM//nummod//113 miljoner//NN|UTR|PLU|IND|NOM//nmod//114 kr.//NN|AN//obl//109 För//PP//case//116 biotopskydd//NN|NEU|SIN|IND|NOM//obl//109 och//KN//cc//118 naturvårdsavtal//NN|NEU|SIN|IND|NOM//conj//116 har//VB|PRS|AKT//aux//121 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//121 anslagit//VB|SUP|AKT//parataxis//5 ca//AB|AN//advmod//123 20//RG|NOM//nummod//124 miljoner//NN|UTR|PLU|IND|NOM//nmod//125 kr//NN|AN//obj//121 per//PP//case//127 år//NN|NEU|SIN|IND|NOM//nmod//125 .//MAD//punct//121
Bilaga 2: Naturskydd och naturhänsyn i skogen;Med//PP//case//131 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//131 tillgång//NN|UTR|SIN|IND|NOM//obl//134 på//PP//case//133 pengar//NN|UTR|PLU|IND|NOM//nmod//131 beräknas//VB|PRS|SFO//conj//5 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//134 ta//VB|INF|AKT//xcomp//134 upp//PL//compound:prt//136 till//PP//case//140 50//RG|NOM//nummod//140 år//NN|NEU|PLU|IND|NOM//obl//136 innan//SN//case//142 biotopskydd//NN|NEU|SIN|IND|NOM//obl//136 på//PP//case//144 skogsmark//NN|UTR|SIN|IND|NOM//nmod//142 är//VB|PRS|AKT//cop//146 genomfört//PC|PRF|NEU|SIN|IND|NOM//xcomp//134 .//MAD//punct//5
Bilaga 2: Naturskydd och naturhänsyn i skogen;Skogsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//149 har//VB|PRS|AKT//aux//157 tidigare//AB|KOM//advmod//149 i//PP//case//153 sin//PS|UTR|SIN|DEF//nmod:poss//153 anslagsframställan//NN|UTR|SIN|IND|NOM//obl//149 för//PP//case//156 år//NN|NEU|SIN|IND|NOM//nmod//156 1997//RG|NOM//obl//149 begärt//VB|SUP|AKT//parataxis//5 80//RG|NOM//nummod//159 miljoner//NN|UTR|PLU|IND|NOM//nmod//160 kr//NN|AN//obj//157 för//PP//case//162 biotopskydd//NN|NEU|SIN|IND|NOM//nmod//160 och//KN//cc//164 naturvårdsavtal//NN|NEU|SIN|IND|NOM//conj//162 .//MAD//punct//5
Bilaga 2: Naturskydd och naturhänsyn i skogen;Med//PP//case//3 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 resurser//NN|UTR|PLU|IND|NOM//obl//6 är//VB|PRS|AKT//cop//6 skogsvårdsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 arbetssätt//NN|NEU|SIN|IND|NOM//nsubj//56 att//IE//mark//11 i//PP//advmod//11 första//RO|NOM//fixed//8 hand//NN|UTR|SIN|IND|NOM//fixed//8 be//VB|INF|AKT//acl//6 skogsägarna//NN|UTR|PLU|DEF|NOM//obj//11 och//KN//cc//14 skogsföretagen//NN|NEU|PLU|DEF|NOM//conj//12 att//IE//mark//16 avstå//VB|INF|AKT//acl//14 från//PP//mark//19 att//IE//mark//19 avverka//VB|INF|AKT//advcl//16 eller//KN//cc//22 att//IE//mark//22 avvakta//VB|INF|AKT//conj//19 några//DT|UTR/NEU|PLU|IND//det//24 år//NN|NEU|PLU|IND|NOM//obl//22 .//MAD//punct//6
Bilaga 2: Naturskydd och naturhänsyn i skogen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//27 innebär//VB|PRS|AKT//parataxis//6 att//SN//mark//30 problemen//NN|NEU|PLU|DEF|NOM//nsubj:pass//30 skjuts//VB|PRS|SFO//ccomp//27 på//PP//case//32 framtiden//NN|UTR|SIN|DEF|NOM//obl//30 .//MAD//punct//6
Bilaga 2: Naturskydd och naturhänsyn i skogen;Biotopskydd//NN|NEU|SIN|IND|NOM//nsubj:pass//37 har//VB|PRS|AKT//aux//37 hittills//AB//advmod//37 prioriterats//VB|SUP|SFO//parataxis//6 för//PP//case//39 områden//NN|NEU|PLU|IND|NOM//obl//37 som//HP|-|-|-//nsubj//42 varit//VB|SUP|AKT//cop//42 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//39 för//PP//case//44 avverkning//NN|UTR|SIN|IND|NOM//obl//42 och//KN//cc//50 där//HA//advmod//50 naturvärden//NN|NEU|PLU|IND|NOM//nsubj//50 annars//AB//advmod//50 skulle//VB|PRT|AKT//aux//50 gått//VB|SUP|AKT//conj//37 förlorade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//50 .//MAD//punct//37
Bilaga 2: Naturskydd och naturhänsyn i skogen;Biotopskydd//NN|NEU|SIN|IND|NOM//conj//37 har//VB|PRS|AKT//aux//56 främst//AB|SUV//advmod//56 berört//VB|SUP|AKT//ROOT//56 privatägd//JJ|POS|UTR|SIN|IND|NOM//amod//58 skogsmark//NN|UTR|SIN|IND|NOM//obj//56 .//MAD//punct//56
Bilaga 2: Naturskydd och naturhänsyn i skogen;Orsaken//NN|UTR|SIN|DEF|NOM//parataxis//56 är//VB|PRS|AKT//cop//60 att//SN//mark//67 de//DT|UTR/NEU|PLU|DEF//det//65 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//65 företagen//NN|NEU|PLU|DEF|NOM//nsubj//67 hittills//AB//advmod//67 avstått//VB|SUP|AKT//csubj//60 från//PP//mark//70 att//IE//mark//70 avverka//VB|INF|AKT//advcl//67 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 biotopskydd//NN|NEU|PLU|IND|NOM//obj//70 ,//MID//punct//78 men//KN//cc//78 kommer//VB|PRS|AKT//aux//78 dock//AB//advmod//78 att//IE//mark//78 kräva//VB|INF|AKT//conj//56 ersättning//NN|UTR|SIN|IND|NOM//obj//78 om//PP//obl//78 och//KN//cc//84 när//HA//advmod//84 biotopskydd//NN|NEU|SIN|IND|NOM//nsubj:pass//84 beslutas//VB|PRS|SFO//conj//78 .//MAD//punct//56
Bilaga 2: Naturskydd och naturhänsyn i skogen;Naturvårdsavtal//NN|NEU|SIN|IND|NOM//ROOT//0
Bilaga 2: Naturskydd och naturhänsyn i skogen;Naturvårdsavtal//NN|NEU|SIN|IND|NOM//nsubj//1 är//VB|PRS|AKT//ROOT//1 att//SN//mark//6 civilrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//4 avtal//NN|NEU|SIN|IND|NOM//nsubj:pass//6 som//HP|-|-|-//nsubj:pass//6 tecknas//VB|PRS|SFO//ccomp//1 mellan//PP//case//8 Skogsvårdsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//6 och//KN//cc//11 en//DT|UTR|SIN|IND//det//11 skogsägare//NN|UTR|SIN|IND|NOM//conj//8 i//PP//case//13 syfte//NN|NEU|SIN|IND|NOM//nmod//11 att//IE//mark//15 bevara//VB|INF|AKT//acl//8 och//KN//cc//17 utveckla//VB|INF|AKT//conj//6 ett//DT|NEU|SIN|IND//det//20 områdes//NN|NEU|SIN|IND|GEN//amod//20 naturvärden//NN|NEU|SIN|IND|NOM//obj//17 .//MAD//punct//1
Bilaga 2: Naturskydd och naturhänsyn i skogen;Naturvårdsavtal//NN|NEU|SIN|IND|NOM//nsubj:pass//23 används//VB|PRS|SFO//parataxis//1 främst//AB|SUV//advmod//23 i//PP//case//27 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//27 fall//NN|NEU|PLU|IND|NOM//obl//23 där//HA//advmod//27 en//DT|UTR|SIN|IND//det//31 miljöanpassad//PC|PRF|UTR|SIN|IND|NOM//amod//31 skötsel//NN|UTR|SIN|IND|NOM//nsubj//36 av//PP//case//34 ett//DT|NEU|SIN|IND//det//34 skogsområde//NN|NEU|SIN|IND|NOM//nmod//31 är//VB|PRS|AKT//cop//36 motiverad//PC|PRF|UTR|SIN|IND|NOM//conj//23 .//MAD//punct//23
Bilaga 2: Naturskydd och naturhänsyn i skogen;Avtalen//NN|NEU|PLU|DEF|NOM//nsubj:pass//39 används//VB|PRS|SFO//parataxis//23 sällan//AB//advmod//39 som//KN//case//44 ett//DT|NEU|SIN|IND//det//44 rent//JJ|POS|NEU|SIN|IND|NOM//amod//44 områdesskydd//NN|NEU|SIN|IND|NOM//obl//39 .//MAD//punct//23
