Ny instansordning för va-målen ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Va-nämndsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet;Stefan//PM|NOM//nmod//4 Rubenson//PM|NOM//flat//0 /Ulla//RG|NOM//advmod//4 Jarnås//PM|NOM//nmod//4 8.2//RG|NOM//nmod//5 Förslaget//NN|NEU|SIN|DEF|NOM//ROOT//5 till//PP//case//7 ändring//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//9 lagen//NN|UTR|SIN|DEF|NOM//nmod//7 (//PAD//punct//11 1991:852//RG|NOM//appos//9 )//PAD//punct//11 om//PP//case//14 betalningsföreläggande//NN|NEU|SIN|IND|NOM//nmod//5 för//PP//case//16 fordringar//NN|UTR|PLU|IND|NOM//nmod//14 i//PP//case//18 arbetstvister//NN|UTR|PLU|IND|NOM//nmod//16 och//KN//cc//20 fordringar//NN|UTR|PLU|IND|NOM//conj//18 som//HP|-|-|-//nsubj:pass//23 skall//VB|PRS|AKT//aux//23 prövas//VB|INF|SFO//acl:relcl//14 av//PP//case//28 Mark-//PM|SMS//amod//28 och//KN//cc//27 8.3//RG|NOM//conj//25 Förslaget//NN|NEU|SIN|DEF|NOM//obl:agent//23 till//PP//case//30 ändringar//NN|UTR|PLU|IND|NOM//obl//23 i//PP//case//32 lagen//NN|UTR|SIN|DEF|NOM//nmod//30 (//PAD//punct//34 2006:412//RG|NOM//appos//32 )//PAD//punct//34 om//PP//case//37 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//23


1 Förslag till lag om ändring i rättegångsbalken;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//9 33//RG|NOM//nummod//4 kap.//NN|AN//nmod//6 7//RG|NOM//nummod//6 §//NN|AN//nmod//7 rättegångsbalken//NN|UTR|SIN|DEF|NOM//nsubj//9 ska//VB|PRS|AKT//aux//9 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 lydelse//NN|UTR|SIN|IND|NOM//obj//9 .//MAD//punct//1

1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//8 i//PP//case//4 24//RG|NOM//nummod//3 §//NN|AN//nmod//4 delgivningslagen//NN|UTR|SIN|DEF|NOM//nmod//0 (//PAD//punct//4 2010:1932//RG|NOM//appos//4 )//PAD//punct//0 hindrar//VB|PRS|AKT//ROOT//8 inte//AB//advmod//8 att//SN//mark//12 hovrätt//NN|UTR|SIN|IND|NOM//nsubj//12 delger//VB|PRS|AKT//ccomp//8 en//DT|UTR|SIN|IND//det//15 part//NN|UTR|SIN|IND|NOM//amod//15 handlingar//NN|UTR|PLU|IND|NOM//obj//12 genom//PP//case//18 förenklad//PC|PRF|UTR|SIN|IND|NOM//amod//18 delgivning//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//12 om//SN//mark//36 parten//NN|UTR|SIN|DEF|NOM//nsubj//36 under//PP//case//23 handläggningen//NN|UTR|SIN|DEF|NOM//nmod//21 vid//PP//case//25 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//21 ,//MID//punct//27 Kronofogdemyndigheten//PM|NOM//conj//25 ,//MID//punct//30 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 vanämnd//NN|UTR|SIN|IND|NOM//conj//25 ,//MID//punct//32 hyresnämnd//NN|UTR|SIN|IND|NOM//conj//25 eller//KN//cc//34 arrendenämnd//NN|UTR|SIN|IND|NOM//conj//25 har//VB|PRS|AKT//aux//36 fått//VB|SUP|AKT//advcl//12 information//NN|UTR|SIN|IND|NOM//obj//36 om//PP//mark//45 att//SN//mark//45 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//41 delgivning//NN|UTR|SIN|IND|NOM//nsubj:pass//45 kan//VB|PRS|AKT//aux//45 komma//VB|INF|AKT//aux//45 att//IE//mark//45 användas//VB|INF|SFO//acl//37 i//PP//case//47 hovrätten//NN|UTR|SIN|DEF|NOM//obl//45 om//PP//mark//51 ett//DT|NEU|SIN|IND//det//51 avgörande//NN|NEU|SIN|IND|NOM//amod//51 överklagas//VB|PRS|SFO//obl//45 dit//AB//advmod//51 .//MAD//punct//8
1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;Första//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 även//AB//advmod//2 för//PP//case//6 Högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//6 domstolen//NN|UTR|SIN|DEF|NOM//obl//2 om//PP//case//8 informationen//NN|UTR|SIN|DEF|NOM//nmod//6 har//VB|PRS|AKT//aux//10 lämnats//VB|SUP|SFO//advcl//2 vid//PP//case//12 tingsrätt//NN|UTR|SIN|IND|NOM//obl//10 ,//MID//punct//14 hovrätt//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//16 Kronofogdemyndigheten//PM|NOM//conj//12 ,//MID//punct//18 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//20  //_SP////18 va-nämnd//NN|UTR|SIN|IND|NOM//conj//12   //_SP////20 eller//KN//cc//23 arrendenämnd//NN|UTR|SIN|IND|NOM//conj//20 .//MAD//punct//2
1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;7//RG|NOM//nummod//26 §//NN|AN//obl//2
1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;Bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//8 i//PP//case//4 24//RG|NOM//nummod//3 §//NN|AN//nmod//4 delgivningslagen//NN|UTR|SIN|DEF|NOM//nmod//0 (//PAD//punct//4 2010:1932//RG|NOM//appos//4 )//PAD//punct//0 hindrar//VB|PRS|AKT//ROOT//8 inte//AB//advmod//8 att//SN//mark//12 hovrätt//NN|UTR|SIN|IND|NOM//nsubj//12 delger//VB|PRS|AKT//ccomp//8 en//DT|UTR|SIN|IND//det//15 part//NN|UTR|SIN|IND|NOM//amod//15 handlingar//NN|UTR|PLU|IND|NOM//obj//12 genom//PP//case//18 förenklad//PC|PRF|UTR|SIN|IND|NOM//amod//18 delgivning//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//12 om//SN//mark//33 parten//NN|UTR|SIN|DEF|NOM//nsubj//33 under//PP//case//23 handläggningen//NN|UTR|SIN|DEF|NOM//nmod//21 vid//PP//case//25 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//21 ,//MID//punct//27 Kronofogdemyndigheten//PM|NOM//conj//25 ,//MID//punct//29 hyresnämnd//NN|UTR|SIN|IND|NOM//conj//25 eller//KN//cc//31 arrendenämnd//NN|UTR|SIN|IND|NOM//conj//25 har//VB|PRS|AKT//aux//33 fått//VB|SUP|AKT//advcl//12 information//NN|UTR|SIN|IND|NOM//obj//33 om//PP//mark//42 att//SN//mark//42 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//38 delgivning//NN|UTR|SIN|IND|NOM//nsubj:pass//42 kan//VB|PRS|AKT//aux//42 komma//VB|INF|AKT//aux//42 att//IE//mark//42 användas//VB|INF|SFO//acl//34 i//PP//case//44 hovrätten//NN|UTR|SIN|DEF|NOM//obl//42 om//PP//mark//48 ett//DT|NEU|SIN|IND//det//48 avgörande//NN|NEU|SIN|IND|NOM//amod//48 överklagas//VB|PRS|SFO//obl//42 dit//AB//advmod//48 .//MAD//punct//8
1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;Första//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 även//AB//advmod//2 för//PP//case//6 Högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//6 domstolen//NN|UTR|SIN|DEF|NOM//obl//2 om//PP//case//8 informationen//NN|UTR|SIN|DEF|NOM//nmod//6 har//VB|PRS|AKT//aux//10 lämnats//VB|SUP|SFO//advcl//2 vid//PP//case//12 tingsrätt//NN|UTR|SIN|IND|NOM//obl//10 ,//MID//punct//14 hovrätt//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//16 Kronofogdemyndigheten//PM|NOM//conj//12 eller//KN//cc//18 arrendenämnd//NN|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//2
1 Förslag till lag om ändring i rättegångsbalken / 33 kap.;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2013//RG|NOM//nummod//7 .//MAD//punct//2

2 Förslag till lag om upphävande av lagen (1976:839) om Statens va-nämnd;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//compound:prt//1 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//5 1976:839//RG|NOM//nmod//3 )//PAD//punct//5 om//PP//mark//11 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 vanämnd//NN|UTR|SIN|IND|NOM//nsubj//11 ska//VB|PRS|AKT//aux//11 upphöra//VB|INF|AKT//acl//3 att//IE//mark//13 gälla//VB|INF|AKT//xcomp//11 den//DT|UTR|SIN|DEF//det//16 1//RO|NOM//nummod//16 januari//NN|UTR|SIN|IND|NOM//obl//13 2013//RG|NOM//nummod//16 .//MAD//punct//3
2 Förslag till lag om upphävande av lagen (1976:839) om Statens va-nämnd;Mål//NN|NEU|PLU|IND|NOM//nsubj:pass//11 och//KN//cc//2 ärenden//NN|NEU|PLU|IND|NOM//conj//0 som//HP|-|-|-//nsubj:pass//6 vid//PP//case//5 upphävandet//NN|NEU|SIN|DEF|NOM//obl//6 handläggs//VB|PRS|SFO//advcl//0 av//PP//case//9 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 vanämnd//NN|UTR|SIN|IND|NOM//obl:agent//6 ska//VB|PRS|AKT//aux//11 överlämnas//VB|INF|SFO//ROOT//11 till//PP//case//13 Mark-//NN|UTR|-|-|SMS//obl//11 och//KN//cc//15 miljödomstolen//NN|UTR|SIN|DEF|NOM//conj//13 vid//PP//case//18 Nacka//PM|GEN//amod//18 tingsrätt//NN|UTR|SIN|IND|NOM//obl//11 och//KN//cc//22 till//PP//case//22 behörig//JJ|POS|UTR|SIN|IND|NOM//amod//22 länsstyrelse//NN|UTR|SIN|IND|NOM//conj//18 .//MAD//punct//11

3 Förslag till lag om ändring i lagen (1991:852) om betalningsföreläggande för fordringar i arbetstvister och fordringar som skall prövas av Statens va-nämnd;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//7 1991:852//RG|NOM//appos//5 )//PAD//punct//7 om//PP//case//10 betalningsföreläggande//NN|NEU|SIN|IND|NOM//obl//1 för//PP//case//12 fordringar//NN|UTR|PLU|IND|NOM//nmod//10 i//PP//case//14 arbetstvister//NN|UTR|PLU|IND|NOM//nmod//12 och//KN//cc//16 fordringar//NN|UTR|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj:pass//19 skall//VB|PRS|AKT//aux//19 prövas//VB|INF|SFO//acl:relcl//16 av//PP//case//22 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 va-nämnd//NN|UTR|SIN|IND|NOM//obl:agent//19 att//IE//mark//36 i//PP//case//25 rubriken//NN|UTR|SIN|DEF|NOM//obl//36 samt//KN//cc//30 i//PP//case//30 3//RG|NOM//nummod//29 §//NN|AN//nmod//30 ordet//NN|NEU|SIN|DEF|NOM//conj//25 ”//PAD//punct//33 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 va-nämnd//NN|UTR|SIN|IND|NOM//conj//25 ”//RG|NOM//nummod//25 ska//VB|PRS|AKT//aux//36 bytas//VB|INF|SFO//advcl//19 ut//PL//compound:prt//36 mot//PP//case//40 ”//PM|NOM//punct//40 Mark-//NN|UTR|-|-|SMS//obl//36 och//KN//cc//42 miljödomstolen//NN|UTR|SIN|DEF|NOM//conj//40 vid//PP//case//45 Nacka//PM|GEN//amod//45 tingsrätt//NN|UTR|SIN|IND|NOM//obl//36 ”//PM|NOM//obl//36 .//MAD//punct//1
3 Förslag till lag om ändring i lagen (1991:852) om betalningsföreläggande för fordringar i arbetstvister och fordringar som skall prövas av Statens va-nämnd;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2013//RG|NOM//nummod//7 .//MAD//punct//2

4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//7 2006:412//RG|NOM//appos//5 )//PAD//punct//7 om//PP//case//11 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 vattentjänster//NN|UTR|PLU|IND|NOM//nmod//5 dels//KN//advmod//1  //_SP////12 att//SN//mark//27 52//RG|NOM//nummod//24 ,//MID//punct//17 53//RG|NOM//nummod//15 ,//MID//punct//17 54//RG|NOM//nummod//17 ,//MID//punct//21 55//RG|NOM//conj//15 och//KN//cc//15 56//RG|NOM//nummod//24 §//NN|AN//nmod//25 §//NN|AN//nsubj//27 ska//VB|PRS|AKT//aux//27 ha//VB|INF|AKT//advcl//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 lydelse//NN|UTR|SIN|IND|NOM//obj//27 ,//MID//punct//27 dels//KN//advmod//38  //_SP////31 att//SN//mark//38 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//38 i//PP//case//36 lagen//NN|UTR|SIN|DEF|NOM//obl//38 ska//VB|PRS|AKT//aux//38 införas//VB|INF|SFO//conj//27 två//RG|NOM//nummod//41 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 paragrafer//NN|UTR|PLU|IND|NOM//obj//38 ,//MID//punct//41 56//RG|NOM//nummod//44 a//NN|NEU|SIN|IND|NOM//appos//41 och//KN//cc//44 56//RG|NOM//nummod//44 b//NN|NEU|SIN|IND|NOM//case//49 §//NN|AN//nmod//49 §//NN|AN//obl//38 ,//MID//punct//38 med//PP//case//53 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 lydelse//NN|UTR|SIN|IND|NOM//obl//38 ,//MID//punct//27 dels//KN//advmod//67  //_SP////55 att//SN//mark//67 punkt//NN|UTR|SIN|IND|NOM//nsubj//67 2//RG|NOM//nummod//60 a//NN|NEU|SIN|IND|NOM//nmod//58 )//PAD//punct//58 i//PP//case//63 ikraftträdande-//NN|UTR|-|-|SMS//nmod//58 och//KN//cc//65 övergångsbestämmelserna//NN|UTR|PLU|DEF|NOM//conj//63 ska//VB|PRS|AKT//aux//67 ha//VB|INF|AKT//conj//27 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 lydelse//NN|UTR|SIN|IND|NOM//obj//67 .//MAD//punct//1
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Länsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//8 om//PP//mark//3 föreläggande//NN|NEU|SIN|IND|NOM//acl//1 enligt//PP//case//6 51//RG|NOM//nummod//6 §//NN|AN//obl//3 får//VB|PRS|AKT//aux//8 överklagas//VB|INF|SFO//ROOT//8 av//PP//case//10 kommunen//NN|UTR|SIN|DEF|NOM//obl:agent//8 hos//PP//case//13 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 va-nämnd//NN|UTR|SIN|IND|NOM//nmod//10 .//MAD//punct//8
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 va-nämnd//NN|UTR|SIN|IND|NOM//nsubj//2 prövar//VB|PRS|AKT//ROOT//2 i//PP//advmod//2 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//3 mål//NN|NEU|SIN|IND|NOM//obj//2 om//PP//case//7 frågor//NN|UTR|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//9 regleras//VB|PRS|SFO//acl:relcl//7 i//PP//case//12 denna//DT|UTR|SIN|DEF//det//12 lag//NN|UTR|SIN|IND|NOM//obl//9 eller//KN//cc//15 i//PP//case//15 föreskrifter//NN|UTR|PLU|IND|NOM//conj//12 som//HP|-|-|-//nsubj:pass//17 meddelats//VB|SUP|SFO//acl:relcl//15 med//PP//case//19 stöd//NN|NEU|SIN|IND|NOM//obl//17 av//PP//case//21 lagen//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//2
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;52//RG|NOM//nummod//24 §//NN|AN//obl//2
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Länsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//8 om//PP//mark//3 föreläggande//NN|NEU|SIN|IND|NOM//acl//1 enligt//PP//case//6 51//RG|NOM//nummod//6 §//NN|AN//obl//3 får//VB|PRS|AKT//aux//8 överklagas//VB|INF|SFO//ROOT//8 av//PP//case//10 kommunen//NN|UTR|SIN|DEF|NOM//obl:agent//8 hos//PP//case//8
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Mark-//NN|UTR|-|-|SMS//ROOT//0 och//KN//cc//2 miljödomstolen//NN|UTR|SIN|DEF|NOM//conj//0 vid//PP//case//5 Nacka//PM|GEN//amod//5 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//0 .//MAD//punct//0
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;53//RG|NOM//nummod//8 §//NN|AN//appos//0
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//24 om//PP//case//2 avgifter//NN|UTR|PLU|IND|NOM//nmod//0 som//HP|-|-|-//nsubj//4 avser//VB|PRS|AKT//acl:relcl//2 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//7 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 vattentjänster//NN|UTR|PLU|IND|NOM//obj//4 som//HP|-|-|-//nsubj:pass//9 regleras//VB|PRS|SFO//acl:relcl//7 i//PP//case//12 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 taxeföreskrifter//NN|UTR|PLU|IND|NOM//obl//9 samt//KN//cc//14 beslut//NN|NEU|PLU|IND|NOM//conj//12 om//PP//mark//17 att//IE//mark//17 stänga//VB|INF|AKT//acl//14 av//PL//case//19 vattenförsörjningen//NN|UTR|SIN|DEF|NOM//obl//17 enligt//PP//case//22 43//RG|NOM//nummod//22 §//NN|AN//obl//17 får//VB|PRS|AKT//aux//24 överklagas//VB|INF|SFO//ROOT//24 till//PP//case//26 länsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//24
4 Förslag till lag om ändring av lagen (2006:412) om allmänna vattentjänster;Länsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//31 får//VB|PRS|AKT//aux//31 överklagas//VB|INF|SFO//parataxis//24 till//PP//case//33 Mark-//NN|UTR|-|-|SMS//obl//31 och//KN//cc//35 miljödomstolen//NN|UTR|SIN|DEF|NOM//conj//33 vid//PP//case//38 Nacka//PM|GEN//amod//38 tingsrätt//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//24
