Romers rätt;–//RG|NOM//punct//2 en//DT|UTR|SIN|IND//det//2 strategi//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 romer//NN|UTR|PLU|IND|NOM//nmod//2 i//PP//case//6 Sverige//PM|NOM//nmod//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Christina//PM|NOM//obl//4 Johnsson//PM|NOM//flat:name//23 ,//MID//punct//23 ordföranden//NN|UTR|SIN|DEF|NOM//conj//23 i//PP//case//31 International//PM|NOM//amod//31 Roma//PM|NOM//compound//30 Women//PM|NOM//compound//31 Network//PM|NOM//nmod//26 Soraya//PM|NOM//nmod//26 Post//PM|NOM//flat//32 ,//MID//punct//23 barnskötaren//NN|UTR|SIN|DEF|NOM//nmod//36 Sali//PM|NOM//appos//23 Resblom//PM|NOM//flat:name//36 ,//MID//punct//39 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//conj//23 i//PP//case//42 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 frågor//NN|UTR|PLU|IND|NOM//nmod//43 Tuula//PM|NOM//nmod//55 Schwartz//PM|NOM//flat:name//43 ,//MID//punct//43 professor//NN|UTR|SIN|IND|NOM//nmod//47 Charles//PM|NOM//nmod//43 Westin//PM|NOM//flat//47 och//KN//cc//50 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//conj//43 i//PP//case//54 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 frågor//NN|UTR|PLU|IND|NOM//nmod//54 Marian//JJ|POS|UTR|SIN|IND|NOM//nmod//55 Wydow//PM|NOM//conj//23 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 6//RO|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 ledamot//NN|UTR|SIN|IND|NOM//xcomp//4 Sali//PM|NOM//nmod//8 Resblom//PM|NOM//obj//6 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//11 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//12 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//14 ledamot//NN|UTR|SIN|IND|NOM//amod//15 språkvårdaren//NN|UTR|SIN|DEF|NOM//nmod//16 Baki//PM|NOM//nsubj:pass//12 Hasan//PM|NOM//flat:name//16 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 18//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 Gunno//PM|NOM//nsubj:pass//4 Gunnmo//PM|NOM//flat:name//5 att//IE//mark//10 vara//VB|INF|AKT//cop//10 biträdande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 ordförande//NN|UTR|SIN|IND|NOM//xcomp//4 i//PP//case//12 delegationen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 24//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2009//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 som//KN//case//8 ledamöter//NN|UTR|PLU|IND|NOM//nmod//7 Hans//PM|NOM//nmod:poss//8 Caldaras//PM|NOM//nsubj:pass//4 och//KN//cc//10 Baki//PM|NOM//conj//8 Hasan//PM|NOM//flat//10 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//14 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//15 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//19 ledamöter//NN|UTR|PLU|IND|NOM//nmod//18 föreståndaren//NN|UTR|SIN|DEF|NOM//nmod//19 Angelina//PM|NOM//dep//15 Dimiter-Taikon//PM|NOM//flat:name//19 och//KN//cc//23 modersmålsläraren//NN|UTR|SIN|DEF|NOM//nmod//23 Sejran//PM|NOM//compound//24 Menekshe//NN|NEU|SIN|IND|NOM//obj//15 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 5//RO|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 experter//NN|UTR|PLU|IND|NOM//amod//7 utredarna//NN|UTR|PLU|DEF|NOM//parataxis//4 Arjun//PM|NOM//nmod//9 Bakshi//PM|NOM//obj//7 och//KN//cc//11 Annika//PM|NOM//conj//9 Öquist//PM|NOM//flat:name//11 ,//MID//punct//11 undervisningsrådet//NN|NEU|SIN|DEF|NOM//nmod//15 Lena//PM|NOM//nmod//22 Hammarberg//PM|NOM//flat:name//15 ,//MID//punct//18 ombudsmannen//NN|UTR|SIN|DEF|NOM//conj//15 mot//PP//case//21 etnisk//JJ|POS|UTR|SIN|IND|NOM//amod//21 diskriminering//NN|UTR|SIN|IND|NOM//nmod//22 Katri//PM|NOM//dep//4 Linna//PM|NOM//flat:name//22 ,//MID//punct//22 projektledarna//NN|UTR|PLU|DEF|NOM//nmod//26 Jorge//PM|NOM//conj//22 Rivera//PM|NOM//flat:name//26 och//KN//cc//29 Joakim//PM|NOM//conj//22 Scheele//PM|NOM//flat:name//29 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//33 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//34 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//36 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//amod//38 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//38 Charlotta//PM|NOM//nsubj:pass//34 Wickman//PM|NOM//flat:name//38 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 23//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//case//7 expert//NN|UTR|SIN|IND|NOM//amod//7 avdelningschef//NN|UTR|SIN|IND|NOM//nmod//8 Olle//PM|NOM//nsubj:pass//4 Josephson//PM|NOM//flat:name//8 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 9//RO|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2008//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//10 expert//NN|UTR|SIN|IND|NOM//amod//7 departementssekreterare//NN|UTR|SIN|IND|NOM//nmod//8 Bilge//PM|NOM//compound//10 Tekin//PM|NOM//flat:name//8 Befrits//PM|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 9//RO|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 experterna//NN|UTR|PLU|DEF|NOM//nmod//6 Bilge//PM|NOM//nsubj:pass//4 Tekin//PM|NOM//flat:name//6 Befrits//PM|NOM//nsubj:pass//4 samt//KN//cc//10 Lena//PM|NOM//conj//8 Hammarberg//PM|NOM//flat:name//10 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//14 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//15 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//18 experter//NN|UTR|PLU|IND|NOM//amod//18 stabschef//NN|UTR|SIN|IND|NOM//advcl//15 Lars//PM|NOM//dep//18 Lindgren//PM|NOM//flat:name//19 ,//MID//punct//22 departementssekreterare//NN|UTR|SIN|IND|NOM//conj//18 Elin//PM|NOM//nsubj//22 Strand//PM|NOM//flat//23 ,//MID//punct//26 utvecklingschef//NN|UTR|SIN|IND|NOM//conj//18 Mats//PM|NOM//nmod//31 Wennerholm//PM|NOM//flat:name//27 och//KN//cc//30 enhetschef//NN|UTR|SIN|IND|NOM//conj//27 Fredrik//PM|NOM//conj//18 Wikström//PM|NOM//flat:name//31 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 31//RG|NOM//nummod//2 maj//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 experten//NN|UTR|SIN|DEF|NOM//nmod//6 Elin//PM|NOM//nsubj:pass//4 Strand//PM|NOM//flat//6 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2010//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//7 expert//NN|UTR|SIN|IND|NOM//amod//7 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//8 Emma//PM|NOM//nsubj:pass//4 Sterky//PM|NOM//flat//8 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//3 referensgrupp//NN|UTR|SIN|IND|NOM//obj//1 med//PP//case//5 representanter//NN|UTR|PLU|IND|NOM//nmod//3 för//PP//case//9 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 organisationer//NN|UTR|PLU|IND|NOM//nmod//5 knuten//PC|PRF|UTR|SIN|IND|NOM//obj//1 till//PP//case//12 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//nmod//10 .//MAD//punct//1
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//16 1//RO|NOM//nummod//16 mars//NN|UTR|SIN|IND|NOM//obl//18 2007//RG|NOM//nummod//16 förordnades//VB|PRT|SFO//parataxis//1 Sonny//PM|NOM//nsubj:pass//18 Jenfjord//PM|NOM//advmod//18 och//KN//cc//22 Sima//PM|NOM//conj//20 Millon//PM|NOM//flat//22 ,//MID//punct//27 Föreningen//NN|UTR|SIN|DEF|NOM//nmod//26 Resandefolkets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 Riksorganisation//NN|UTR|SIN|IND|NOM//conj//20 ,//MID//punct//29 Birger//PM|NOM//conj//1 Rosengren//PM|NOM//flat:name//29 och//KN//cc//32 Eva//PM|NOM//conj//29 Rosengren//PM|NOM//flat:name//32 ,//MID//punct//35 Resandefolket//NN|NEU|SIN|DEF|NOM//nmod//36 Romanoa//PM|NOM//appos//29 Riksförbund//PM|NOM//flat:name//36 ,//MID//punct//39 Michell//PM|NOM//conj//29 Alfredsson//PM|NOM//flat//39 och//KN//cc//42 Anneli//PM|NOM//conj//39 Aronsen//PM|NOM//flat//42 ,//MID//punct//47 Resande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//46 Romers//PM|GEN//nmod:poss//47 Riksförbund//NN|NEU|SIN|IND|NOM//conj//39 ,//MID//punct//49 Rosita//PM|NOM//appos//29 Grönfors//PM|NOM//flat:name//49 ,//MID//punct//52 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//29 Internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 Romska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 och//KN//cc//56 Resande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//54 Kvinnocenter//NN|UTR|PLU|IND|NOM//nmod//52 ,//MID//punct//60 Stefano//PM|NOM//nsubj//60 Kuzhikov//PM|NOM//conj//29 ,//MID//punct//62 Riksförbundet//NN|NEU|SIN|DEF|NOM//nmod//63 Romer//PM|NOM//obj//1 i//PP//case//65 Europa//PM|NOM//obl//1 ,//MID//punct//67 Stefan//PM|NOM//conj//1 Pallison//PM|NOM//flat:name//67 och//KN//cc//70 Hillevi//PM|NOM//conj//67 Furtenbach//PM|NOM//flat//70 ,//MID//punct//74 Romernas//NN|UTR|PLU|DEF|GEN//nmod:poss//74 Riksförbund//NN|NEU|SIN|IND|NOM//appos//67 (//PAD//punct//67 f.d.//JJ|AN//amod//78 Nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 Zigenarrådet//NN|NEU|SIN|DEF|NOM//appos//67 )//PAD//punct//67 ,//MID//punct//81 Erland//PM|NOM//conj//1 Kaldaras//PM|NOM//flat:name//81 och//KN//cc//84 Floryda//PM|NOM//conj//81 Lakatosz//PM|NOM//flat//84 ,//MID//punct//88 Romska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//88 Ungdomsförbundet//NN|NEU|SIN|DEF|NOM//conj//81 ,//MID//punct//90 Baki//PM|NOM//conj//81 Hasan//PM|NOM//flat//90 ,//MID//punct//94 Romsk//JJ|POS|UTR|SIN|IND|NOM//amod//94 Kulturförening//NN|UTR|SIN|IND|NOM//compound//95 Riksorganisation//NN|UTR|SIN|IND|NOM//conj//81 och//KN//cc//97 Center//PM|NOM//conj//95 för//PP//case//100 romsk//JJ|POS|UTR|SIN|IND|NOM//amod//100 kulturutveckling//NN|UTR|SIN|IND|NOM//nmod//81 ,//MID//punct//81 Lars//PM|NOM//conj//81 Demetri//PM|NOM//flat//102 och//KN//cc//105 Angelina//PM|NOM//conj//102 Dimiter-Taikon//PM|NOM//flat//105 ,//MID//punct//110 Romska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//110 Kristna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 Socialdemokrater//NN|UTR|PLU|IND|NOM//conj//81 ,//MID//punct//112 Gregor//PM|NOM//dep//81 Lärlund//PM|NOM//flat//112 och//KN//cc//115 Sali//PM|NOM//nmod//116 Bogdanov//PM|NOM//nmod//112 ,//MID//punct//112 Föreningen//NN|UTR|SIN|DEF|NOM//nmod//119 Lovara//PM|NOM//nmod//112 i//PP//case//121 Lund//PM|NOM//nmod//112 .//MAD//punct//1
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 14//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 Baki//PM|NOM//nsubj:pass//4 Hasan//PM|NOM//flat//5 och//KN//cc//8 Sima//PM|NOM//conj//5 Millon//PM|NOM//flat//8 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//12 dag//NN|UTR|SIN|IND|NOM//obl//13 förordnades//VB|PRT|SFO//parataxis//4 Helen//PM|NOM//nsubj:pass//13 Danielsson//PM|NOM//flat//14 ,//MID//punct//14 Föreningen//NN|UTR|SIN|DEF|NOM//appos//14 resandefolkets//NN|NEU|SIN|DEF|GEN//nmod:poss//19 organisation//NN|UTR|SIN|IND|NOM//obj//13 ,//MID//punct//19 Berisa//PM|NOM//amod//22 Kamalj//PM|NOM//appos//19 ,//MID//punct//25 Romsk//JJ|POS|UTR|SIN|IND|NOM//amod//25 kulturförening//NN|UTR|SIN|IND|NOM//nmod//26 Riksorganisation//NN|UTR|SIN|IND|NOM//conj//19 och//KN//cc//28 Center//PM|NOM//conj//26 för//PP//case//31 romsk//JJ|POS|UTR|SIN|IND|NOM//amod//31 kulturutveckling//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//31 Allan//PM|NOM//nmod//40 Schwartz//PM|NOM//flat//33 och//KN//cc//36 Hilda//PM|NOM//conj//33 Schwartz//PM|NOM//flat//36 ,//MID//punct//33 Centralförbundet//NN|NEU|SIN|DEF|NOM//compound//40 Roma//PM|NOM//appos//31 International//PM|NOM//flat//40 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 7//RO|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 entledigades//VB|PRT|SFO//ROOT//4 Birger//PM|NOM//nsubj:pass//4 Rosengren//PM|NOM//flat:name//5 och//KN//cc//8 Ewa//PM|NOM//conj//5 Rosengren//PM|NOM//flat:name//8 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//ROOT//4 som//KN//case//8 huvudsekreterare//NN|UTR|SIN|IND|NOM//nmod//7 Ann-Marie//PM|NOM//nmod//8 Algemo//PM|NOM//obl//4 .//MID//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//12 15//RG|NOM//nummod//12 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//13 anställdes//VB|PRT|SFO//parataxis//4 som//KN//case//15 sekreterare//NN|UTR|SIN|IND|NOM//nmod//16 Domino//PM|NOM//nsubj:pass//13 Kai//PM|NOM//compound:prt//13 till//AB//compound:prt//17 och//KN//fixed//18 med//AB//fixed//18 31//RG|NOM//nummod//22 december//NN|UTR|SIN|IND|NOM//obl//13 2008//RG|NOM//nummod//22 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//27 1//RO|NOM//nummod//27 juli//NN|UTR|SIN|IND|NOM//nsubj:pass//29 2007//RG|NOM//nummod//27 anställdes//VB|PRT|SFO//parataxis//4 som//KN//mark//32 sekreterare//NN|UTR|SIN|IND|NOM//nmod//32 Elin//PM|NOM//dep//29 Strand//PM|NOM//flat:name//32 till//AB//case//38 och//KN//fixed//34 med//AB//fixed//34 31//RG|NOM//nummod//38 januari//NN|UTR|SIN|IND|NOM//obl//29 2008//RG|NOM//nummod//38 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//43 1//RO|NOM//nummod//43 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//45 2008//RG|NOM//nummod//43 anställdes//VB|PRT|SFO//parataxis//4 som//KN//case//50 sekreterare//NN|UTR|SIN|IND|NOM//nmod//48 Tiina//PM|NOM//nmod:poss//50 Ritzén//PM|NOM//flat:name//48 Kiveliö//PM|NOM//obl//45 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//54 17//RG|NOM//nummod//54 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//56 2008//RG|NOM//nummod//54 anställdes//VB|PRT|SFO//parataxis//4 som//KN//case//59 sekreterare//NN|UTR|SIN|IND|NOM//nmod//59 Manuel//PM|NOM//dep//56 Tan//PM|NOM//flat:name//59 Marti//PM|NOM//flat:name//59 till//AB//case//66 och//KN//fixed//62 med//AB//fixed//62 30//RG|NOM//nummod//66 juni//NN|UTR|SIN|IND|NOM//obl//56 2009//RG|NOM//nummod//66 .//MAD//punct//4
