Till statsrådet Maj-Inger Klingvall ;"Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 18//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//6 1997//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 statsrådet//NN|NEU|SIN|DEF|NOM//obj//6 Maj-Inger//PM|NOM//nsubj//6 Klingvall//PM|NOM//flat:name//9 att//IE//mark//12 utse//VB|INF|AKT//acl//9 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//22 konstruktion//NN|UTR|SIN|IND|NOM//nmod//20 av//PP//case//25 övergångsvis//AB//amod//25 garantipension//NN|UTR|SIN|IND|NOM//nmod//22 för//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 ålderspensionärer//NN|UTR|PLU|IND|NOM//obl//19 som//HP|-|-|-//nsubj:pass//33 inte//AB//advmod//33 kommer//VB|PRS|AKT//aux//33 att//IE//mark//33 omfattas//VB|INF|SFO//acl:relcl//28 av//PP//case//35 regelsystemet//NN|NEU|SIN|DEF|NOM//obl//33 för//PP//case//37 garantipension//NN|UTR|SIN|IND|NOM//nmod//35 inom//PP//case//41 den//DT|UTR|SIN|DEF//det//41 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//41 ålderspensioneringen//NN|UTR|SIN|DEF|NOM//nmod//37 ;//MID//punct//6"
1 Innehållsförteckning;3.1//RG|NOM//amod//1 Ålderspension//NN|UTR|SIN|IND|NOM//ROOT//1 i//PP//case//5 form//NN|UTR|SIN|IND|NOM//fixed//2 av//PP//fixed//2 folkpension//NN|UTR|SIN|IND|NOM//nmod//1 och//KN//cc//7 4.3//RG|NOM//conj//5 Den//DT|UTR|SIN|DEF//det//10 övergångsvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 garantipensionen//NN|UTR|SIN|DEF|NOM//nmod//1 enligt//PP//case//12 5.3//RG|NOM//nmod//15 Den//DT|UTR|SIN|DEF//det//15 övergångsvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 garantipensionen//NN|UTR|SIN|DEF|NOM//nmod//10 och//KN//cc//17 bosättnings16.7//VB|IMP|AKT//conj//15 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//17 till//PP//case//20 lag//NN|UTR|SIN|IND|NOM//obl//17 om//PP//case//22 ändring//NN|UTR|SIN|IND|NOM//nmod//20 i//PP//case//24 lagen//NN|UTR|SIN|DEF|NOM//nmod//22 (//PAD//punct//26 1998:703//RG|NOM//conj//15 )//PAD//punct//26 om//PP//case//30 16.8//RG|NOM//nummod//30 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//1 till//PP//case//32 lag//NN|UTR|SIN|IND|NOM//nmod//1 om//PP//case//34 ändring//NN|UTR|SIN|IND|NOM//nmod//32 i//PP//case//36 lagen//NN|UTR|SIN|DEF|NOM//nmod//34 (//PAD//punct//38 1998:678//RG|NOM//appos//1 )//PAD//punct//38 om//PP//case//1

18 Författningsförslag;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//3 i//PP//case//2 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 gäller//VB|PRS|AKT//ROOT//3 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//3 som//HP|-|-|-//nsubj//7 är//VB|PRS|AKT//cop//7 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//4 år//NN|NEU|SIN|IND|NOM//nmod//9 1938//RG|NOM//obl//7 eller//KN//cc//11 senare//AB|KOM//conj//7 .//MAD//punct//3
18 Författningsförslag;Garantipension//NN|UTR|SIN|IND|NOM//nsubj//3 för//PP//case//2 personer//NN|UTR|PLU|IND|NOM//nmod//0 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 år//NN|NEU|SIN|IND|NOM//nmod//5 1938//RG|NOM//obl//3 eller//KN//cc//7 senare//AB|KOM//conj//3  //_SP////7 utges//VB|PRS|SFO//conj//3 till//PP//case//11 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//9 som//HP|-|-|-//nsubj//13 saknar//VB|PRS|AKT//acl:relcl//11 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//15 ålderspension//NN|UTR|SIN|IND|NOM//obj//13 eller//KN//cc//19 vars//HS|DEF//nmod:poss//19 inkomstgrundade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//19 ålderspension//NN|UTR|SIN|IND|NOM//conj//15 inte//AB//advmod//21 överstiger//VB|PRS|AKT//conj//3 ett//DT|NEU|SIN|IND//det//25 visst//JJ|POS|NEU|SIN|IND|NOM//amod//25 högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//25 belopp//NN|NEU|SIN|IND|NOM//obj//21 .//MAD//punct//3
18 Författningsförslag;Rätten//NN|UTR|SIN|DEF|NOM//nsubj//6 till//PP//case//2 garantipension//NN|UTR|SIN|IND|NOM//nmod//0 och//KN//cc//4 bosättningstillägg//NN|NEU|SIN|IND|NOM//conj//2 är//VB|PRS|AKT//cop//6 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//6 av//PP//case//8 försäkringstid//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//6
18 Författningsförslag;2//RG|NOM//nummod//11 §//NN|AN//appos//6
18 Författningsförslag;Garantipension//NN|UTR|SIN|IND|NOM//nsubj:pass//10 och//KN//cc//2 kostnaderna//NN|UTR|PLU|DEF|NOM//conj//0 för//PP//case//4 administrationen//NN|UTR|SIN|DEF|NOM//nmod//2 av//PP//case//7 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//7 pension//NN|UTR|SIN|IND|NOM//nmod//4  //_SP////7 skall//VB|PRS|AKT//aux//10 finansieras//VB|INF|SFO//ROOT//10 av//PP//case//12 statsmedel//NN|NEU|PLU|IND|NOM//obl:agent//10 .//MAD//punct//10
18 Författningsförslag;Garantipension//NN|UTR|SIN|IND|NOM//nsubj:pass//13 och//KN//cc//2 bosättningstillägg//NN|NEU|SIN|IND|NOM//conj//0 samt//KN//cc//5  //_SP////3 kostnaderna//NN|UTR|PLU|DEF|NOM//conj//0 för//PP//case//7 administration//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//10 pensioner//NN|UTR|PLU|IND|NOM//nmod//7  //_SP////10 skall//VB|PRS|AKT//aux//13 finansieras//VB|INF|SFO//ROOT//13 av//PP//case//15 statsmedel//NN|NEU|PLU|IND|NOM//obl:agent//13 .//MAD//punct//13

18 Författningsförslag / 2 kap. Försäkringstid;1//RG|NOM//nummod//1 §//NN|AN//ROOT//1
18 Författningsförslag / 2 kap. Försäkringstid;Som//KN//case//1 försäkringstid//NN|UTR|SIN|IND|NOM//obl//5 för//PP//case//3 garantipension//NN|UTR|SIN|IND|NOM//nmod//1 skall//VB|PRS|AKT//aux//5 tillgodoräknas//VB|INF|SFO//nsubj:pass//13 tid//NN|UTR|SIN|IND|NOM//nsubj:pass//5 under//PP//case//10 vilken//HP|UTR|SIN|IND//det//10 en//DT|UTR|SIN|IND//det//10 person//NN|UTR|SIN|IND|NOM//obl//5 har//VB|PRS|AKT//aux//13 varit//VB|SUP|AKT//aux:pass//13 folkbokförd//PC|PRF|UTR|SIN|IND|NOM//ROOT//13 i//PP//case//15 Sverige//PM|NOM//obl//13 enligt//PP//case//17 folkbokföringslagen//NN|UTR|SIN|DEF|NOM//obl//13 (//PAD//punct//19 1991:481//RG|NOM//appos//17 )//PAD//punct//19 .//MAD//punct//13
18 Författningsförslag / 2 kap. Försäkringstid;Vid//PP//case//23 flyttning//NN|UTR|SIN|IND|NOM//obl//30 till//PP//case//25 utlandet//NN|NEU|SIN|DEF|NOM//nmod//23 skall//VB|PRS|AKT//aux//30 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//30 dock//AB//advmod//30 inte//AB//advmod//30 tas//VB|INF|SFO//conj//13 till//PP//case//32 tid//NN|UTR|SIN|IND|NOM//obl//30 efter//PP//case//34 utresan//NN|UTR|SIN|DEF|NOM//obl//30 om//SN//case//36 personen//NN|UTR|SIN|DEF|NOM//nsubj:pass//42 enligt//PP//case//39 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//39 lag//NN|UTR|SIN|IND|NOM//nmod//36 då//AB//advmod//42 skall//VB|PRS|AKT//aux//42 avregistreras//VB|INF|SFO//advcl//30 som//KN//mark//44 utflyttad//PC|PRF|UTR|SIN|IND|NOM//advcl//42 .//MAD//punct//13
18 Författningsförslag / 2 kap. Försäkringstid;Som//KN//case//1 försäkringstid//NN|UTR|SIN|IND|NOM//obl//8 för//PP//case//3 garantipension//NN|UTR|SIN|IND|NOM//nmod//1 och//KN//cc//5 bosättningstillägg//NN|NEU|SIN|IND|NOM//conj//3  //_SP////5 skall//VB|PRS|AKT//aux//8 tillgodoräknas//VB|INF|SFO//nsubj:pass//16 tid//NN|UTR|SIN|IND|NOM//nsubj:pass//8 under//PP//case//13 vilken//HP|UTR|SIN|IND//det//13 en//DT|UTR|SIN|IND//det//13 person//NN|UTR|SIN|IND|NOM//obl//8 har//VB|PRS|AKT//aux//16 varit//VB|SUP|AKT//aux:pass//16 folkbokförd//PC|PRF|UTR|SIN|IND|NOM//ROOT//16 i//PP//case//18 Sverige//PM|NOM//obl//16 enligt//PP//case//20 folkbokföringslagen//NN|UTR|SIN|DEF|NOM//obl//16 (//PAD//punct//22 1991:481//RG|NOM//appos//20 )//PAD//punct//22 .//MAD//punct//16
18 Författningsförslag / 2 kap. Försäkringstid;Vid//PP//case//26 flyttning//NN|UTR|SIN|IND|NOM//obl//33 till//PP//case//28 utlandet//NN|NEU|SIN|DEF|NOM//nmod//26 skall//VB|PRS|AKT//aux//33 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//33 dock//AB//advmod//33 inte//AB//advmod//33 tas//VB|INF|SFO//conj//16 till//PP//case//35 tid//NN|UTR|SIN|IND|NOM//obl//33 efter//PP//case//37 utresan//NN|UTR|SIN|DEF|NOM//obl//33 om//SN//case//39 personen//NN|UTR|SIN|DEF|NOM//nsubj:pass//45 enligt//PP//case//42 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//42 lag//NN|UTR|SIN|IND|NOM//nmod//39 då//AB//advmod//45 skall//VB|PRS|AKT//aux//45 avregistreras//VB|INF|SFO//advcl//33 som//KN//mark//47 utflyttad//PC|PRF|UTR|SIN|IND|NOM//advcl//45 .//MAD//punct//16
18 Författningsförslag / 2 kap. Försäkringstid;2//RG|NOM//nummod//50 §//NN|AN//appos//16
18 Författningsförslag / 2 kap. Försäkringstid;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//24 som//HP|-|-|-//nsubj:pass//8 före//PP//case//3 tidpunkten//NN|UTR|SIN|DEF|NOM//obl//8 för//PP//case//5 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//3 oavbrutet//AB|POS//advmod//8 har//VB|PRS|AKT//aux//8 vistats//VB|SUP|SFO//acl:relcl//0 i//PP//case//10 Sverige//PM|NOM//obl//8 efter//PP//mark//14 att//IE//mark//14 ha//VB|INF|AKT//aux//14 ansökt//VB|SUP|AKT//advcl//8 om//PP//case//16 uppehållstillstånd//NN|NEU|SIN|IND|NOM//obl//14 ,//MID//punct//0 skall//VB|PRS|AKT//aux//24 som//KN//case//20 försäkringstid//NN|UTR|SIN|IND|NOM//obl//18 för//PP//case//22 garantipension//NN|UTR|SIN|IND|NOM//nmod//20 även//AB//advmod//24 tillgodoräknas//VB|PRS|SFO//ROOT//24 tiden//NN|UTR|SIN|DEF|NOM//obj//24 från//PP//case//27 ansökan//NN|UTR|SIN|IND|NOM//obl//24 om//PP//case//29 uppehållstillstånd//NN|NEU|SIN|IND|NOM//nmod//27 till//PP//case//31 tidpunkten//NN|UTR|SIN|DEF|NOM//nmod//29 för//PP//case//33 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//31 .//MAD//punct//24
18 Författningsförslag / 2 kap. Försäkringstid;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//26 som//HP|-|-|-//nsubj:pass//8 före//PP//case//3 tidpunkten//NN|UTR|SIN|DEF|NOM//obl//8 för//PP//case//5 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//3 oavbrutet//AB|POS//advmod//8 har//VB|PRS|AKT//aux//8 vistats//VB|SUP|SFO//acl:relcl//0 i//PP//case//10 Sverige//PM|NOM//obl//8 efter//PP//mark//14 att//IE//mark//14 ha//VB|INF|AKT//aux//14 ansökt//VB|SUP|AKT//advcl//8 om//PP//case//16 uppehållstillstånd//NN|NEU|SIN|IND|NOM//obl//14 ,//MID//punct//0 skall//VB|PRS|AKT//aux//26 som//KN//case//20 försäkringstid//NN|UTR|SIN|IND|NOM//obl//18 för//PP//case//22 garantipension//NN|UTR|SIN|IND|NOM//nmod//20 och//KN//cc//24 bosättningstillägg//NN|NEU|SIN|IND|NOM//conj//22 även//AB//advmod//26 tillgodoräknas//VB|PRS|SFO//ROOT//26 tiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//26 från//PP//case//29 ansökan//NN|UTR|SIN|IND|NOM//obl//26 om//PP//case//31 uppehållstillstånd//NN|NEU|SIN|IND|NOM//nmod//29 till//PP//case//33 tidpunkten//NN|UTR|SIN|DEF|NOM//nmod//31 för//PP//case//35 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//33 .//MAD//punct//26
18 Författningsförslag / 2 kap. Försäkringstid;3//RG|NOM//nummod//38 §//NN|AN//obl//26
18 Författningsförslag / 2 kap. Försäkringstid;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//24 som//HP|-|-|-//nsubj:pass//3 har//VB|PRS|AKT//aux//3 beviljats//VB|SUP|SFO//acl:relcl//0 uppehållstillstånd//NN|NEU|SIN|IND|NOM//xcomp//3 med//PP//case//6 stöd//NN|NEU|SIN|IND|NOM//nmod//4 av//PP//case//10 3//RG|NOM//nummod//9 kap.//NN|AN//nmod//10 2//RG|NOM//nummod//13 eller//KN//cc//10 3//RG|NOM//nummod//10 §//NN|AN//nmod//14 utlänningslagen//NN|UTR|SIN|DEF|NOM//obl//3 (//PAD//punct//14 1989:529//RG|NOM//appos//14 )//PAD//punct//14 skall//VB|PRS|AKT//aux//24 som//KN//case//20 försäkringstid//NN|UTR|SIN|IND|NOM//obl//18 för//PP//case//22 garantipension//NN|UTR|SIN|IND|NOM//nmod//20 även//AB//advmod//24 tillgodoräknas//NN|UTR|PLU|DEF|GEN//ROOT//24 tid//NN|UTR|SIN|IND|NOM//obj//24 under//PP//case//27 vilken//HP|UTR|SIN|IND//obl//24 han//PN|UTR|SIN|DEF|SUB//nsubj//33 eller//KN//cc//30 hon//PN|UTR|SIN|DEF|SUB//conj//28 har//VB|PRS|AKT//aux//33 varit//VB|SUP|AKT//cop//33 bosatt//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//27 i//PP//case//37 sitt//PS|NEU|SIN|DEF//nmod:poss//37 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 hemland//NN|NEU|SIN|IND|NOM//obl//33 från//PP//case//42 och//KN//fixed//38 med//PP//case//42 det//DT|NEU|SIN|DEF//det//42 kalenderår//NN|NEU|SIN|IND|NOM//obl//33 då//HA//mark//46 den//DT|UTR|SIN|DEF//det//45 pensionssökande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//46 fyllde//VB|PRT|AKT//acl:relcl//42 25//RG|NOM//nummod//48 år//NN|NEU|PLU|IND|NOM//obj//46 till//PP//case//50 tidpunkten//NN|UTR|SIN|DEF|NOM//obl//46 då//HA//mark//56 han//PN|UTR|SIN|DEF|SUB//nsubj//56 eller//KN//cc//54 hon//PN|UTR|SIN|DEF|SUB//conj//52 först//AB//advmod//56 ankom//VB|PRT|AKT//acl:relcl//50 till//PP//case//58 Sverige//PM|NOM//obl//56 .//MAD//punct//24
